,ET_W,ET_S,secTw,secTs,ETwTs,ET,secT,routing,EM,dist,k,l
17,240.9638554216868,5.0,19354.52653989452,73.19277108433735,3012.048192771085,245.9638554216868,25451.815696521026,Sshaped,1,negbin_15,1,100.0
18,120.48192771084338,5.0,19390.816277156817,148.19277108433735,602.4096385542169,125.48192771084338,20659.345817002948,Return,1,bin_50,1,100.0
19,240.96385542168676,5.0,58063.57961968356,148.19277108433735,1204.8192771084339,245.96385542168676,60621.41094498476,Largest,1,bin_50,1,100.0
20,240.9638554216868,5.0,19354.52653989452,148.19277108433735,3012.048192771085,245.9638554216868,25526.815696521026,Sshaped,1,bin_50,1,100.0
21,120.48192771084338,5.0,19390.816277156817,148.19277108433735,602.4096385542169,125.48192771084338,20659.345817002948,Return,1,bin_75,1,100.0
22,240.96385542168676,5.0,58063.57961968356,148.19277108433735,1204.8192771084339,245.96385542168676,60621.41094498476,Largest,1,bin_75,1,100.0
23,240.9638554216868,5.0,19354.52653989452,148.19277108433735,3012.048192771085,245.9638554216868,25526.815696521026,Sshaped,1,bin_75,1,100.0
24,120.48192771084338,5.0,19390.816277156817,148.19277108433735,602.4096385542169,125.48192771084338,20659.345817002948,Return,1,bin_100,1,100.0
25,240.96385542168676,5.0,58063.57961968356,148.19277108433735,1204.8192771084339,245.96385542168676,60621.41094498476,Largest,1,bin_100,1,100.0
26,240.9638554216868,5.0,19354.52653989452,148.19277108433735,3012.048192771085,245.9638554216868,25526.815696521026,Sshaped,1,bin_100,1,100.0
27,152.3182069466404,10.0,27414.299009189686,221.3855421686747,1648.0475194836656,162.3182069466404,30799.104310894716,Return,2,poi,1,100.0
28,240.96385542168676,10.0,58063.57961968356,221.3855421686747,2409.6385542168678,250.96385542168676,63104.24227028597,Largest,2,poi,1,100.0
29,272.8001346574838,10.0,27378.009271927374,221.3855421686747,8240.23759741833,282.8001346574838,44079.87000893271,Sshaped,2,poi,1,100.0
30,147.8808768385806,10.0,26444.915402551174,246.3855421686747,1670.2341700239647,157.8808768385806,29899.094005336803,Return,2,geo,1,100.0
31,240.96385542168676,10.0,58063.57961968356,246.3855421686747,2409.6385542168678,250.96385542168676,63129.24227028597,Largest,2,geo,1,100.0
32,268.362804549424,10.0,26408.62566528887,246.3855421686747,8351.170850119826,278.362804549424,43357.3529076972,Sshaped,2,geo,1,100.0
33,160.6425702811245,10.0,29068.07954710408,196.3855421686747,1606.4257028112454,170.6425702811245,32344.641215464275,Return,2,det,1,100.0
34,240.96385542168676,10.0,58063.57961968356,196.3855421686747,2409.6385542168678,250.96385542168676,63079.24227028597,Largest,2,det,1,100.0
35,281.1244979919679,10.0,29031.78980984178,196.3855421686747,8032.128514056228,291.1244979919679,45292.43238012291,Sshaped,2,det,1,100.0
36,151.2531607913134,10.0,27186.389466836554,226.38554216867465,1653.3727502603006,161.2531607913134,30586.845230094852,Return,2,negbin_5,1,100.0
37,240.96385542168676,10.0,58063.57961968356,226.38554216867465,2409.6385542168678,250.96385542168676,63109.24227028597,Largest,2,negbin_5,1,100.0
38,271.7350885021568,10.0,27150.099729574256,226.38554216867465,8266.863751301502,281.7350885021568,43910.212774345935,Sshaped,2,negbin_5,1,100.0
39,151.7712917638108,10.0,27297.655674082114,223.88554216867476,1650.7820953978137,161.7712917638108,30690.43012761544,Return,2,negbin_10,1,100.0
40,240.96385542168676,10.0,58063.57961968356,223.88554216867476,2409.6385542168678,250.96385542168676,63106.74227028597,Largest,2,negbin_10,1,100.0
41,272.2532194746542,10.0,27261.36593681982,223.88554216867476,8253.910476989073,282.2532194746542,43993.07243296664,Sshaped,2,negbin_10,1,100.0
42,151.95025037905086,10.0,27335.91474004012,223.05220883534136,1649.8873023216133,161.95025037905086,30726.066274087712,Return,2,negbin_15,1,100.0
43,240.96385542168676,10.0,58063.57961968356,223.05220883534136,2409.6385542168678,250.96385542168676,63105.908936952634,Largest,2,negbin_15,1,100.0
